사원번호,근무일자,입실시간,퇴실시간,근무시간,출결상태
101,2024-09-02,2024-09-02 09:04,2024-09-02 17:52,528,1
101,2024-09-03,2024-09-03 08:56,2024-09-03 17:52,536,1
101,2024-09-04,2024-09-04 08:58,2024-09-04 17:53,535,1
101,2024-09-05,2024-09-05 09:05,2024-09-05 17:51,526,1
101,2024-09-06,2024-09-06 08:58,2024-09-06 17:57,539,1
101,2024-09-09,2024-09-09 08:57,2024-09-09 17:52,535,1
101,2024-09-10,2024-09-10 08:58,2024-09-10 17:51,533,1
101,2024-09-11,2024-09-11 09:01,2024-09-11 17:51,530,1
101,2024-09-12,2024-09-12 08:59,2024-09-12 17:55,536,1
101,2024-09-13,2024-09-13 08:59,2024-09-13 17:51,532,1
101,2024-09-23,2024-09-23 09:03,2024-09-23 17:56,533,1
101,2024-09-24,2024-09-24 09:01,2024-09-24 17:53,532,1
101,2024-09-25,2024-09-25 09:00,2024-09-25 17:51,531,1
101,2024-09-26,2024-09-26 09:03,2024-09-26 17:53,530,1
101,2024-09-27,2024-09-27 09:11,2024-09-27 17:52,521,2
101,2024-09-30,2024-09-30 09:09,2024-09-30 17:57,528,1
101,2024-10-01,2024-10-01 09:03,2024-10-01 17:51,528,1
101,2024-10-02,2024-10-02 09:02,2024-10-02 17:52,530,1
101,2024-10-07,2024-10-07 09:28,2024-10-07 17:55,507,2
101,2024-10-08,2024-10-08 09:02,2024-10-08 17:58,536,1
101,2024-10-10,2024-10-10 09:00,2024-10-10 17:54,534,1
101,2024-10-11,2024-10-11 09:05,2024-10-11 17:58,533,1
101,2024-10-14,2024-10-14 09:02,2024-10-14 17:52,530,1
101,2024-10-15,2024-10-15 09:07,2024-10-15 17:56,529,1
101,2024-10-16,2024-10-16 09:00,2024-10-16 17:54,534,1
101,2024-10-17,2024-10-17 09:03,2024-10-17 17:52,529,1
101,2024-10-18,2024-10-18 09:05,2024-10-18 17:52,527,1
101,2024-10-21,2024-10-21 09:01,NULL,0,3
101,2024-10-22,2024-10-22 09:06,2024-10-22 17:52,526,1
101,2024-10-23,2024-10-23 09:06,2024-10-23 17:52,526,1
101,2024-10-24,2024-10-24 09:03,2024-10-24 17:56,533,1
101,2024-10-25,2024-10-25 09:06,2024-10-25 17:58,532,1
101,2024-10-28,2024-10-28 09:05,2024-10-28 17:50,525,1
101,2024-10-29,2024-10-29 09:04,2024-10-29 17:55,531,1
101,2024-10-30,2024-10-30 09:09,2024-10-30 17:57,528,1
101,2024-10-31,2024-10-31 09:05,2024-10-31 17:52,527,1
101,2024-11-01,2024-11-01 09:09,2024-11-01 17:55,526,1
101,2024-11-04,2024-11-04 09:02,2024-11-04 17:52,530,1
101,2024-11-05,2024-11-05 09:06,2024-11-05 17:54,528,1
101,2024-11-06,2024-11-06 09:06,2024-11-06 17:56,530,1
101,2024-11-07,2024-11-07 09:04,2024-11-07 17:57,533,1
101,2024-11-08,2024-11-08 09:08,2024-11-08 17:51,523,1
101,2024-11-11,2024-11-11 09:07,2024-11-11 17:52,525,1
101,2024-11-12,2024-11-12 09:04,2024-11-12 17:52,528,1
101,2024-11-13,2024-11-13 13:01,2024-11-13 17:53,292,2
101,2024-11-14,2024-11-14 10:06,2024-11-14 18:52,526,1
101,2024-11-15,2024-11-15 09:04,2024-11-15 17:50,526,1
101,2024-11-18,2024-11-18 09:03,2024-11-18 17:52,529,1
101,2024-11-19,2024-11-19 09:07,2024-11-19 17:51,524,1
101,2024-11-20,2024-11-20 09:05,2024-11-20 17:51,526,1
101,2024-11-21,2024-11-21 09:08,2024-11-21 17:56,528,1
101,2024-11-22,2024-11-22 09:10,2024-11-22 17:53,523,1
101,2024-11-25,2024-11-25 10:04,2024-11-25 17:52,468,2
101,2024-11-26,2024-11-26 09:29,2024-11-26 17:53,504,2
101,2024-11-27,2024-11-27 08:59,2024-11-27 17:58,539,1
101,2024-11-28,2024-11-28 09:09,2024-11-28 17:50,521,1
101,2024-11-29,2024-11-29 09:06,2024-11-29 17:50,524,1
101,2024-12-02,2024-12-02 09:00,2024-12-02 17:51,531,1
101,2024-12-03,2024-12-03 09:04,2024-12-03 18:47,583,1
101,2024-12-04,2024-12-04 10:02,2024-12-04 17:51,469,2
101,2024-12-05,2024-12-05 09:07,2024-12-05 18:03,536,1
101,2024-12-06,2024-12-06 09:03,2024-12-06 17:50,527,1
101,2024-12-09,2024-12-09 09:10,2024-12-09 17:50,520,1
101,2024-12-10,2024-12-10 09:08,2024-12-10 17:50,522,1
101,2024-12-11,2024-12-11 09:07,2024-12-11 17:55,528,1
101,2024-12-12,2024-12-12 09:07,2024-12-12 17:57,530,1
101,2024-12-13,2024-12-13 09:15,2024-12-13 17:50,515,2
101,2024-12-16,2024-12-16 09:08,2024-12-16 17:55,527,1
101,2024-12-17,2024-12-17 09:07,2024-12-17 17:51,524,1
101,2024-12-18,2024-12-18 09:06,2024-12-18 18:12,546,1
101,2024-12-19,2024-12-19 09:51,2024-12-19 18:16,505,2
101,2024-12-20,2024-12-20 09:07,2024-12-20 17:50,523,1
101,2024-12-23,2024-12-23 09:06,2024-12-23 17:50,524,1
101,2024-12-24,2024-12-24 09:09,2024-12-24 17:50,521,1
101,2024-12-26,2024-12-26 09:09,2024-12-26 17:50,521,1
101,2024-12-27,NULL,NULL,0,5
101,2024-12-30,2024-12-30 09:10,2024-12-30 17:51,521,1
101,2024-12-31,2024-12-31 09:09,2024-12-31 17:51,522,1
101,2025-01-02,2025-01-02 09:10,2025-01-02 17:50,520,1
101,2025-01-03,2025-01-03 09:08,2025-01-03 17:51,523,1
101,2025-01-06,2025-01-06 09:34,2025-01-06 17:52,498,2
101,2025-01-07,2025-01-07 09:08,2025-01-07 17:51,523,1
101,2025-01-08,2025-01-08 09:10,2025-01-08 17:52,522,1
101,2025-01-09,2025-01-09 09:09,2025-01-09 17:51,522,1
101,2025-01-10,2025-01-10 09:09,2025-01-10 17:51,522,1
101,2025-01-13,NULL,NULL,0,5
101,2025-01-14,2025-01-14 09:08,2025-01-14 18:00,532,1
101,2025-01-15,2025-01-15 09:07,2025-01-15 17:56,529,1
101,2025-01-16,2025-01-16 09:07,2025-01-16 17:51,524,1
101,2025-01-17,2025-01-17 09:29,2025-01-17 17:52,503,2
101,2025-01-20,2025-01-20 09:14,2025-01-20 17:53,519,2
101,2025-01-21,2025-01-21 09:02,2025-01-21 23:19,857,1
101,2025-01-22,2025-01-22 09:06,2025-01-22 17:52,526,1
101,2025-01-23,2025-01-23 09:08,2025-01-23 17:58,530,1
101,2025-01-24,2025-01-24 09:09,2025-01-24 17:51,522,1
101,2025-02-03,2025-02-03 09:04,2025-02-03 17:52,528,1
101,2025-02-04,2025-02-04 09:22,2025-02-04 19:20,598,2
